syn_id,pre,pre_id,pre_common_id,post,post_id,post_common_id,x_pos,y_pos,z_pos,size
1,ADAL,184,1,AIBL,152,13,18388.992,13802.496,7750,220261.86600000007
1,ADAL,184,1,AIAL,27,11,18388.992,13802.496,7750,28994.504000000008
2,ADAL,184,1,AVAL,44,43,17498.112,13894.656,6750,13890.316000000006
2,ADAL,184,1,AVBL,111,45,17498.112,13894.656,6750,156333.93600000007
3,ADAL,184,1,AVAL,44,43,16969.728,10822.656,5750,147729.02100000004
3,ADAL,184,1,AVJR,80,56,16969.728,10822.656,5750,108954.32900000004
3,ADAL,184,1,AVBL,111,45,16969.728,10822.656,5750,62487.78800000002
4,ADAL,184,1,AVAL,44,43,17393.664,11304.96,5850,101726.99900000004
4,ADAL,184,1,AVJR,80,56,17393.664,11304.96,5850,35440.537000000004
4,ADAL,184,1,AVBL,111,45,17393.664,11304.96,5850,498136.06700000016
5,ADAL,184,1,AVAR,63,44,15627.264,17556.48,8850,222761.48400000003
5,ADAL,184,1,AVBR,99,46,15627.264,17556.48,8850,34595.35200000001
6,ADAL,184,1,AVBL,111,45,15338.496,18241.536,10700,98189.20100000004
6,ADAL,184,1,AVBR,99,46,15338.496,18241.536,10700,823524.3060000002
6,ADAL,184,1,RIML,185,125,15338.496,18241.536,10700,465607.7580000002
6,ADAL,184,1,PVPL,131,107,15338.496,18241.536,10700,182124.7230000001
6,ADAL,184,1,AVHR,81,54,15338.496,18241.536,10700,14252.348000000004
7,ADAL,184,1,AVBL,111,45,17682.432,13320.192,6400,169047.64800000004
7,ADAL,184,1,RICL,140,117,17682.432,13320.192,6400,122764.78500000005
8,ADAL,184,1,AVBL,111,45,15866.88,18349.056,10250,205289.44700000007
8,ADAL,184,1,RIML,185,125,15866.88,18349.056,10250,101723.00600000004
9,ADAL,184,1,AVBL,111,45,15074.304,18545.664,11400,64707.89600000002
9,ADAL,184,1,RIML,185,125,15074.304,18545.664,11400,114635.03700000004
10,ADAL,184,1,AVBL,111,45,15387.648,18388.992,11000,205437.18800000005
10,ADAL,184,1,RIML,185,125,15387.648,18388.992,11000,329555.6000000001
11,ADAL,184,1,AVJR,80,56,17442.816,13977.6,6600,195956.4750000001
11,ADAL,184,1,AVBL,111,45,17442.816,13977.6,6600,1184081.5580000004
12,ADAL,184,1,RIPL,210,127,16321.536,10423.296,5400,197581.62600000005
13,ADAR,87,2,AVAL,44,43,13814.784,9225.216,5450,113631.46300000005
13,ADAR,87,2,AVBL,111,45,13814.784,9225.216,5450,144744.91900000005
14,ADAR,87,2,AVAL,44,43,13768.704,9249.792,5200,350490.8990000001
14,ADAR,87,2,AVBL,111,45,13768.704,9249.792,5200,202740.58200000005
15,ADAR,87,2,AVAL,44,43,11596.8,17258.496,8000,75152.25300000003
15,ADAR,87,2,RIMR,85,126,11596.8,17258.496,8000,76833.30600000003
16,ADAR,87,2,AVAR,63,44,10804.224,10527.744,6050,124499.07800000004
16,ADAR,87,2,AVJL,70,55,10804.224,10527.744,6050,118966.11100000003
16,ADAR,87,2,AVBR,99,46,10804.224,10527.744,6050,224652.83500000008
17,ADAR,87,2,AVAR,63,44,10312.704,10838.016,6250,59803.161000000015
17,ADAR,87,2,AVJL,70,55,10312.704,10838.016,6250,351682.1440000001
