syn_id,pre,pre_id,pre_common_id,post,post_id,post_common_id,x_pos,y_pos,z_pos,size
1,RIH,145,124,CEPDL,187,71,6264,3540,50,56629.85685
1,RIH,145,124,OLQDL,189,95,6264,3540,50,115370.1431
2,RIH,145,124,URXR,179,181,3312,3848,50,529157.3604
2,RIH,145,124,IL2DR,182,88,3312,3848,50,153855.8376
2,RIH,145,124,CEPDR,186,72,3312,3848,50,17786.80203
10,CEPVR,219,74,IL2VR,205,92,3672,7816,50,77913.99317
10,CEPVR,219,74,OLQVR,213,98,3672,7816,50,20486.00683
12,IL2DR,182,88,RIPR,153,128,3572,4488,150,212800.0
13,RIH,145,124,CEPDR,186,72,3324,3568,200,64923.76138
13,RIH,145,124,OLQDR,188,96,3324,3568,200,153476.2386
24,RIH,145,124,IL2DR,182,88,3660,4076,300,28800.0
25,IL2DL,183,87,GLRDL,109,0,5556,4452,300,87200.0
30,RIH,145,124,IL2DL,183,87,6152,3964,350,100800.0
32,IL2DL,183,87,GLRDL,109,0,5404,4192,350,119040.0
32,IL2DL,183,87,RMED,164,139,5404,4192,350,56960.0
33,IL2DR,182,88,CEPshDR,1,0,3132,4092,400,22619.71831
33,IL2DR,182,88,RIH,145,124,3132,4092,400,21380.28169
41,RIH,145,124,URXL,178,180,6684,3656,600,124680.5247
41,RIH,145,124,CEPDL,187,71,6684,3656,600,190519.4753
44,RIH,145,124,CEPshDL,2,0,6740,4060,500,7464.984227
44,RIH,145,124,RIPL,154,127,6740,4060,500,38935.01577
45,RIH,145,124,CEPDL,187,71,6420,3476,550,61458.87743
45,RIH,145,124,OLQDL,189,95,6420,3476,550,52941.12257
53,RMEV,165,142,BWM-DR03,127,0,5012,3940,700,207698.6472
53,RMEV,165,142,BWM-DL01,134,0,5012,3940,700,300976.4828
53,RMEV,165,142,BWM-DL03,135,0,5012,3940,700,58454.1103
53,RMEV,165,142,RMEL,163,140,5012,3940,700,30470.75963
64,IL2DR,182,88,RIH,145,124,3308,4060,700,122624.6185
64,IL2DR,182,88,RMED,164,139,3308,4060,700,106975.3815
59,RMEV,165,142,RMEL,163,140,4864,3652,650,49853.42163
59,RMEV,165,142,RMDDL,173,133,4864,3652,650,30946.57837
61,RIH,145,124,RMED,164,139,3288,3420,750,44739.72603
61,RIH,145,124,IL1DR,180,82,3288,3420,750,28356.16438
61,RIH,145,124,OLQDR,188,96,3288,3420,750,204164.3836
61,RIH,145,124,URYDL,191,182,3288,3420,750,274739.726
63,URADR,184,175,RMER,162,141,3776,3584,750,112488.0
63,URADR,184,175,RMED,164,139,3776,3584,750,403512.0
65,RIH,145,124,URXR,179,181,3000,3424,750,6645.72004
65,RIH,145,124,IL1DR,180,82,3000,3424,750,2176.032226
65,RIH,145,124,CEPDR,186,72,3000,3424,750,49578.24773
68,RMEV,165,142,RMDDL,173,133,4744,3624,750,96800.0
71,RIH,145,124,RMEL,163,140,6408,3920,800,194631.1111
71,RIH,145,124,IL2DL,183,87,6408,3920,800,298168.8889
72,RMEV,165,142,BWM-DR03,127,0,4356,4060,800,92337.60684
72,RMEV,165,142,BWM-DR01,133,0,4356,4060,800,254200.0
72,RMEV,165,142,BWM-DL01,134,0,4356,4060,800,106459.8291
72,RMEV,165,142,BWM-DL03,135,0,4356,4060,800,26071.79487
72,RMEV,165,142,RMDDL,173,133,4356,4060,800,537730.7692
85,IL2DR,182,88,RIH,145,124,3156,4088,800,27575.1503
85,IL2DR,182,88,RMED,164,139,3156,4088,800,12424.8497
89,URADR,184,175,RMER,162,141,3680,3748,850,85600.0
92,IL2DR,182,88,RIPR,153,128,3332,4656,850,29213.44956
92,IL2DR,182,88,RMEV,165,142,3332,4656,850,27586.55044
95,RMEV,165,142,RMDDL,173,133,4892,3544,900,56000.0
96,RMEV,165,142,RMDDL,173,133,4624,3640,900,69600.0
98,URADL,185,174,RMEL,163,140,5896,4044,900,21252.66332
98,URADL,185,174,RMEV,165,142,5896,4044,900,347.3366834
99,RMDDL,173,133,BWM-DR03,127,0,4384,4244,900,71862.78317
99,RMDDL,173,133,BWM-DR01,133,0,4384,4244,900,26537.21683
104,URADR,184,175,BWM-DR03,127,0,3940,4352,950,47891.79601
104,URADR,184,175,RMEL,163,140,3940,4352,950,58508.20399
106,RMEV,165,142,SMDVR,243,173,4228,3348,1000,117600.0
111,RMEV,165,142,RMDDL,173,133,4916,3400,1150,190400.0
112,RMEV,165,142,RMDDR,172,134,4952,3540,1050,17199.58377
112,RMEV,165,142,RMDDL,173,133,4952,3540,1050,215600.4162
