name,id,type,class,neurotransmitter1,neurotransmitter2,l1_vol,l2_vol,l3_vol,adult_vol,dauer_vol
ADAL,1,2,ADA,Glutamate,,0.70172803072,1.27322112,1.371940061184,3.49418496,1.159168
ADAR,2,2,ADA,Glutamate,,0.64449675264,1.26031872,1.61380678238208,2.8780032,1.017088
ADEL,3,1,ADE,Dopamine,,0.3641704448,1.33632,1.83228740665344,7.32429312,0.7913472
ADER,4,1,ADE,Dopamine,,0.29712449536,1.32857856,1.84192088408064,6.86450688,0.781312
ADFL,5,1,ADF,Acetylcholine,Serotonin,0.75306631168,1.44672768,2.01841283432448,3.72854784,1.8277888
ADFR,6,1,ADF,Acetylcholine,Serotonin,0.66119008256,1.48881408,2.03595240701952,3.6868608,1.7976832
ADLL,7,1,ADL,Glutamate,,0.96496254976,2.39683584,3.61843377831936,6.35523072,1.4007296
ADLR,8,1,ADL,Glutamate,,0.98991865856,2.3052288,3.52774621495296,5.41704192,1.5408128
AFDL,9,1,AFD,Glutamate,,0.62272831488,1.67768064,2.24137800843264,3.95378688,1.436928
AFDR,10,1,AFD,Glutamate,,0.5921308672,1.6636416,1.95529694773248,4.11174912,1.401856
AIAL,11,2,AIA,Acetylcholine,,0.98540978176,2.37385728,2.67717659590656,5.18866944,1.5248384
AIAR,12,2,AIA,Acetylcholine,,0.84439728128,2.12514816,2.72713780297728,4.6656,1.4869504
AIBL,13,2,AIB,Glutamate,,1.5525216256,3.26602752,4.52235293097984,9.35826432,2.8133376
AIBR,14,2,AIB,Glutamate,,1.58643257344,3.1977984,4.175614181376,9.20346624,2.6797568
AIML,15,2,AIM,Glutamate,Serotonin,0.62654513152,1.27527936,1.65991459848192,4.39271424,0.914176
AIMR,16,2,AIM,Glutamate,Serotonin,0.58560872448,1.22213376,1.59420763865088,3.70142208,0.9731072
AINL,17,2,AIN,Acetylcholine,,0.83737182208,1.85650176,2.19799414112256,5.43756288,1.2409344
AINR,18,2,AIN,Acetylcholine,,0.89581944832,1.85736192,2.53184396230656,5.06637312,1.458432
AIYL,19,2,AIY,Acetylcholine,,1.18912712704,2.7538944,2.982225641472,5.6322048,1.842432
AIYR,20,2,AIY,Acetylcholine,,1.13653055488,2.5798656,3.08324427890688,5.39860992,1.8596864
AIZL,21,2,AIZ,Glutamate,,1.73711294464,3.37130496,4.23969341571072,7.6429824,2.3735296
AIZR,22,2,AIZ,Glutamate,,1.61377943552,3.16459008,3.97796179968,7.01282304,2.2719488
ALA,23,2,ALA,GABA,,0.37794873344,0.5907456,0.65710281719808,2.56293888,1.8547712
ALML,24,1,ALM,Glutamate,,0.30599544832,1.1848704,1.49687629774848,3.83560704,0.971008
ALMR,25,1,ALM,Glutamate,,0.47932506112,1.112064,1.62652961636352,3.78289152,1.2073984
ALNL,26,1,ALN,Acetylcholine,,0,0.30133248,0.61225731883008,1.93999872,0.9352192
ALNR,27,1,ALN,Acetylcholine,,0,0.32904192,0.58325722988544,1.67728128,0.8631808
AQR,28,1,AQR,Glutamate,,0,2.59233792,2.91917619265536,5.240064,1.6630784
ASEL,29,1,ASE,Glutamate,,0.97882472448,2.0817408,2.8848943005696,4.257792,1.3331456
ASER,30,1,ASE,Glutamate,,1.33575999488,3.71352576,3.72862082875392,5.33907456,2.2846464
ASGL,31,1,ASG,Glutamate,Serotonin,0.50570723328,1.10816256,1.6172615467008,3.17303808,0.7765504
ASGR,32,1,ASG,Glutamate,Serotonin,0.47504687104,1.07424768,1.47611449294848,2.79333888,0.8200704
ASHL,33,1,ASH,Glutamate,,1.03416856576,1.96509696,2.5218118582272,4.33959936,1.2661248
ASHR,34,1,ASH,Glutamate,,0.96986988544,2.15436288,2.15284967276544,4.00361472,1.3208064
ASIL,35,1,ASI,Unknown,,0.63453528064,1.36295424,1.65705777414144,3.32043264,1.7700864
ASIR,36,1,ASI,Unknown,,0.61796777984,1.50033408,1.65523073531904,2.71343616,1.5801344
ASJL,37,1,ASJ,Acetylcholine,,0.86142615552,1.62868224,2.14677061632,3.86884608,0.9667072
ASJR,38,1,ASJ,Acetylcholine,,0.69147295744,1.56220416,2.16955877326848,3.61073664,1.0942464
ASKL,39,1,ASK,Glutamate,,0.69491228672,1.4495232,1.85118895374336,3.91753728,1.8970624
ASKR,40,1,ASK,Glutamate,,0.57921241088,1.66385664,1.85142148595712,3.46573824,1.6304128
AUAL,41,2,AUA,Glutamate,,0.98253668352,2.2232064,2.80556759678976,5.6414208,1.6978432
AUAR,42,2,AUA,Glutamate,,1.02450069504,1.94866176,2.64927273025536,4.94757888,1.460224
AVAL,43,2,AVA,Acetylcholine,,0.68065165312,2.71506432,3.25099966169088,9.6405504,1.5241216
AVAR,44,2,AVA,Acetylcholine,,0.77787561984,2.3898624,3.24884043399168,9.33436416,1.7651712
AVBL,45,2,AVB,Acetylcholine,,1.00539564032,1.7390592,2.75427763421184,11.38412544,1.6126464
AVBR,46,2,AVB,Acetylcholine,,0.72511127552,2.29346304,2.50433872330752,11.67768576,1.5056896
AVDL,47,2,AVD,Acetylcholine,,0.42763026432,0.92608512,1.05210861060096,3.5578368,0.776448
AVDR,48,2,AVD,Acetylcholine,,0.41517318144,0.98875392,1.16505282871296,4.11331584,0.742144
AVEL,49,2,AVE,Acetylcholine,,0.79026978816,1.68173568,1.79079701594112,4.70642688,1.0313216
AVER,50,2,AVE,Acetylcholine,,0.6860832768,1.88012544,2.12657353261056,4.64345088,1.0944512
AVFL,51,2,AVF,GABA,,0,0.9520128,1.19634502090752,4.73143296,1.0744832
AVFR,52,2,AVF,GABA,,0,1.3338624,1.24212064813056,5.64397056,1.0347008
AVHL,53,2,AVH,Unknown,,0.43784339456,1.25466624,1.08672269156352,3.21226752,1.1493888
AVHR,54,2,AVH,Unknown,,0.49920606208,1.0750464,1.15671488790528,3.03608832,1.1308032
AVJL,55,2,AVJ,Unknown,,0.33298579456,0.94239744,0.90265683492864,2.48064,1.2709376
AVJR,56,2,AVJ,Unknown,,0.41546678272,1.03486464,0.9920820805632,2.70695424,1.1848192
AVKL,57,2,AVK,Unknown,,0.80966844416,2.59550208,2.54712465063936,8.80032768,1.9715584
AVKR,58,2,AVK,Unknown,,0.9554624512,2.24283648,2.76852853702656,8.9413632,1.9867136
AVL,59,2,AVL,GABA,,0.69057118208,2.00918016,1.66237279617024,5.22341376,0.7839744
AVM,60,1,AVM,Glutamate,,0,1.00153344,1.30653207134208,3.4297344,0.8969216
AWAL,61,1,AWA,Unknown,,0.46424653824,1.47388416,2.03126854385664,4.15939584,1.02656
